Pricing group,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022
1,"0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526","0,11526"
2,"0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449","0,10449"
3,"0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046","0,10046"
4,"0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993","0,06993"
5,"0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131","0,08131"
6,"0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365","0,06365"
7,"0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989","0,05989"
8,"0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093","0,06093"
9,"0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576","0,05576"
10,"0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770","0,03770"
